Time resolution is 1 ps
========== CPU 整体测试 ==========
PC=00, IR=00, ACC=0000
PC=00, IR=00, ACC=0000
PC=00, IR=00, ACC=0000
PC=00, IR=00, ACC=0000
PC=00, IR=00, ACC=0000
PC=00, IR=00, ACC=0000
PC=00, IR=00, ACC=0000
PC=00, IR=00, ACC=0000
PC=00, IR=00, ACC=0000
PC=00, IR=00, ACC=0000
复位完成，开始执行程序
PC=00, IR=00, ACC=0000
PC=00, IR=10, ACC=0000
PC=01, IR=10, ACC=0000
PC=01, IR=10, ACC=0000
PC=01, IR=10, ACC=0000
PC=01, IR=10, ACC=0000
PC=01, IR=10, ACC=0000
PC=01, IR=10, ACC=0000
PC=01, IR=10, ACC=0000
PC=01, IR=10, ACC=0006
PC=01, IR=10, ACC=0006
PC=01, IR=10, ACC=0006
PC=01, IR=10, ACC=0006
PC=01, IR=10, ACC=0006
PC=01, IR=10, ACC=0006
PC=01, IR=20, ACC=0006
PC=02, IR=20, ACC=0006
PC=02, IR=20, ACC=0006
PC=02, IR=20, ACC=0006
PC=02, IR=20, ACC=0006
PC=02, IR=20, ACC=0006
PC=02, IR=20, ACC=0006
PC=02, IR=20, ACC=0006
PC=02, IR=20, ACC=0006
PC=02, IR=20, ACC=0006
PC=02, IR=20, ACC=0006
PC=02, IR=10, ACC=0006
PC=03, IR=10, ACC=0006
PC=03, IR=10, ACC=0006
PC=03, IR=10, ACC=0006
PC=03, IR=10, ACC=0006
PC=03, IR=10, ACC=0006
PC=03, IR=10, ACC=0006
PC=03, IR=10, ACC=0006
PC=03, IR=10, ACC=0004
PC=03, IR=10, ACC=0004
PC=03, IR=10, ACC=0004
PC=03, IR=10, ACC=0004
PC=03, IR=10, ACC=0004
PC=03, IR=10, ACC=0004
PC=03, IR=20, ACC=0004
PC=04, IR=20, ACC=0004
PC=04, IR=20, ACC=0004
PC=04, IR=20, ACC=0004
PC=04, IR=20, ACC=0004
PC=04, IR=20, ACC=0004
PC=04, IR=20, ACC=0004
PC=04, IR=20, ACC=0004
PC=04, IR=20, ACC=0004
PC=04, IR=20, ACC=0004
PC=04, IR=20, ACC=0004
PC=04, IR=10, ACC=0004
PC=05, IR=10, ACC=0004
PC=05, IR=10, ACC=0004
PC=05, IR=10, ACC=0004
PC=05, IR=10, ACC=0004
PC=05, IR=10, ACC=0004
PC=05, IR=10, ACC=0004
PC=05, IR=10, ACC=0004
PC=05, IR=10, ACC=0000
PC=05, IR=10, ACC=0000
PC=05, IR=10, ACC=0000
PC=05, IR=10, ACC=0000
PC=05, IR=10, ACC=0000
PC=05, IR=10, ACC=0000
PC=05, IR=20, ACC=0000
PC=06, IR=20, ACC=0000
PC=06, IR=20, ACC=0000
PC=06, IR=20, ACC=0000
PC=06, IR=20, ACC=0000
PC=06, IR=20, ACC=0000
PC=06, IR=20, ACC=0000
PC=06, IR=20, ACC=0000
PC=06, IR=20, ACC=0000
PC=06, IR=20, ACC=0000
PC=06, IR=20, ACC=0000
PC=06, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0004
PC=07, IR=10, ACC=0004
PC=07, IR=10, ACC=0004
PC=07, IR=10, ACC=0004
PC=07, IR=10, ACC=0004
PC=07, IR=10, ACC=0004
PC=07, IR=60, ACC=0004
PC=08, IR=60, ACC=0004
PC=08, IR=60, ACC=0004
PC=08, IR=60, ACC=0004
PC=08, IR=60, ACC=0004
PC=08, IR=60, ACC=0004
PC=08, IR=60, ACC=0004
PC=08, IR=60, ACC=0004
PC=08, IR=60, ACC=0004
PC=08, IR=60, ACC=0004
PC=08, IR=10, ACC=0004
PC=09, IR=10, ACC=0004
PC=09, IR=10, ACC=0004
PC=09, IR=10, ACC=0004
PC=09, IR=10, ACC=0004
PC=09, IR=10, ACC=0004
PC=09, IR=10, ACC=0004
PC=09, IR=10, ACC=0004
PC=09, IR=10, ACC=0000
PC=09, IR=10, ACC=0000
PC=09, IR=10, ACC=0000
PC=09, IR=10, ACC=0000
PC=09, IR=10, ACC=0000
PC=09, IR=10, ACC=0000
PC=09, IR=30, ACC=0000
PC=0a, IR=30, ACC=0000
PC=0a, IR=30, ACC=0000
PC=0a, IR=30, ACC=0000
PC=0a, IR=30, ACC=0000
PC=0a, IR=30, ACC=0000
PC=0a, IR=30, ACC=0000
PC=0a, IR=30, ACC=0000
PC=0a, IR=30, ACC=0006
PC=0a, IR=30, ACC=0006
PC=0a, IR=30, ACC=0006
PC=0a, IR=30, ACC=0006
PC=0a, IR=30, ACC=0006
PC=0a, IR=30, ACC=0006
PC=0a, IR=20, ACC=0006
PC=0b, IR=20, ACC=0006
PC=0b, IR=20, ACC=0006
PC=0b, IR=20, ACC=0006
PC=0b, IR=20, ACC=0006
PC=0b, IR=20, ACC=0006
PC=0b, IR=20, ACC=0006
PC=0b, IR=20, ACC=0006
PC=0b, IR=20, ACC=0006
PC=0b, IR=20, ACC=0006
PC=0b, IR=20, ACC=0006
PC=0b, IR=10, ACC=0006
PC=0c, IR=10, ACC=0006
PC=0c, IR=10, ACC=0006
PC=0c, IR=10, ACC=0006
PC=0c, IR=10, ACC=0006
PC=0c, IR=10, ACC=0006
PC=0c, IR=10, ACC=0006
PC=0c, IR=10, ACC=0006
PC=0c, IR=10, ACC=0004
PC=0c, IR=10, ACC=0004
PC=0c, IR=10, ACC=0004
PC=0c, IR=10, ACC=0004
PC=0c, IR=10, ACC=0004
PC=0c, IR=10, ACC=0004
PC=0c, IR=30, ACC=0004
PC=0d, IR=30, ACC=0004
PC=0d, IR=30, ACC=0004
PC=0d, IR=30, ACC=0004
PC=0d, IR=30, ACC=0004
PC=0d, IR=30, ACC=0004
PC=0d, IR=30, ACC=0004
PC=0d, IR=30, ACC=0004
PC=0d, IR=30, ACC=0003
PC=0d, IR=30, ACC=0003
PC=0d, IR=30, ACC=0003
PC=0d, IR=30, ACC=0003
PC=0d, IR=30, ACC=0003
PC=0d, IR=30, ACC=0003
PC=0d, IR=20, ACC=0003
PC=0e, IR=20, ACC=0003
PC=0e, IR=20, ACC=0003
PC=0e, IR=20, ACC=0003
PC=0e, IR=20, ACC=0003
PC=0e, IR=20, ACC=0003
PC=0e, IR=20, ACC=0003
PC=0e, IR=20, ACC=0003
PC=0e, IR=20, ACC=0003
PC=0e, IR=20, ACC=0003
PC=0e, IR=20, ACC=0003
PC=0e, IR=50, ACC=0003
PC=0f, IR=50, ACC=0003
PC=0f, IR=50, ACC=0003
PC=06, IR=50, ACC=0003
PC=06, IR=50, ACC=0003
PC=06, IR=50, ACC=0003
PC=06, IR=50, ACC=0003
PC=06, IR=50, ACC=0003
PC=06, IR=50, ACC=0003
PC=06, IR=10, ACC=0003
PC=07, IR=10, ACC=0003
PC=07, IR=10, ACC=0003
PC=07, IR=10, ACC=0003
PC=07, IR=10, ACC=0003
PC=07, IR=10, ACC=0003
PC=07, IR=10, ACC=0003
PC=07, IR=10, ACC=0003
PC=07, IR=10, ACC=0003
PC=07, IR=10, ACC=0003
PC=07, IR=10, ACC=0003
PC=07, IR=10, ACC=0003
PC=07, IR=10, ACC=0003
PC=07, IR=10, ACC=0003
PC=07, IR=60, ACC=0003
PC=08, IR=60, ACC=0003
PC=08, IR=60, ACC=0003
PC=08, IR=60, ACC=0003
PC=08, IR=60, ACC=0003
PC=08, IR=60, ACC=0003
PC=08, IR=60, ACC=0003
PC=08, IR=60, ACC=0003
PC=08, IR=60, ACC=0003
PC=08, IR=60, ACC=0003
PC=08, IR=10, ACC=0003
PC=09, IR=10, ACC=0003
PC=09, IR=10, ACC=0003
PC=09, IR=10, ACC=0003
PC=09, IR=10, ACC=0003
PC=09, IR=10, ACC=0003
PC=09, IR=10, ACC=0003
PC=09, IR=10, ACC=0003
PC=09, IR=10, ACC=0006
PC=09, IR=10, ACC=0006
PC=09, IR=10, ACC=0006
PC=09, IR=10, ACC=0006
PC=09, IR=10, ACC=0006
PC=09, IR=10, ACC=0006
PC=09, IR=30, ACC=0006
PC=0a, IR=30, ACC=0006
PC=0a, IR=30, ACC=0006
PC=0a, IR=30, ACC=0006
PC=0a, IR=30, ACC=0006
PC=0a, IR=30, ACC=0006
PC=0a, IR=30, ACC=0006
PC=0a, IR=30, ACC=0006
PC=0a, IR=30, ACC=000c
PC=0a, IR=30, ACC=000c
PC=0a, IR=30, ACC=000c
PC=0a, IR=30, ACC=000c
PC=0a, IR=30, ACC=000c
PC=0a, IR=30, ACC=000c
PC=0a, IR=20, ACC=000c
PC=0b, IR=20, ACC=000c
PC=0b, IR=20, ACC=000c
PC=0b, IR=20, ACC=000c
PC=0b, IR=20, ACC=000c
PC=0b, IR=20, ACC=000c
PC=0b, IR=20, ACC=000c
PC=0b, IR=20, ACC=000c
PC=0b, IR=20, ACC=000c
PC=0b, IR=20, ACC=000c
PC=0b, IR=20, ACC=000c
PC=0b, IR=10, ACC=000c
PC=0c, IR=10, ACC=000c
PC=0c, IR=10, ACC=000c
PC=0c, IR=10, ACC=000c
PC=0c, IR=10, ACC=000c
PC=0c, IR=10, ACC=000c
PC=0c, IR=10, ACC=000c
PC=0c, IR=10, ACC=000c
PC=0c, IR=10, ACC=0003
PC=0c, IR=10, ACC=0003
PC=0c, IR=10, ACC=0003
PC=0c, IR=10, ACC=0003
PC=0c, IR=10, ACC=0003
PC=0c, IR=10, ACC=0003
PC=0c, IR=30, ACC=0003
